interceptionId,playId,teamId,playerId,intPosition,intYards,intTd
540562,46421,750,19940050,DT,8,False
540563,46433,750,20040028,CB,0,False
540564,46503,4500,20040420,CB,0,False
540565,46862,4500,20010196,CB,41,False
540566,47084,4600,19980015,LB,23,True
540567,47144,2510,20010145,CB,10,False
540568,47293,5110,20040005,S,30,False
540569,47320,5110,19980239,DE,39,False
540570,47342,5110,20010483,LB,78,True
540571,47424,5110,19960013,CB,0,False
540572,47456,3800,20020619,S,-1,False
540573,47663,810,20010069,CB,6,False
540574,47849,3200,19910031,LB,26,False
540575,48162,3430,20040143,S,1,False
540576,48212,3430,20040012,LB,38,True
540577,48481,2510,20010145,CB,0,False
540578,48674,4500,19980035,S,0,False
540579,48735,2510,20010145,CB,-1,False
540580,48874,4900,20000040,LB,31,False
540581,48914,2510,20010145,CB,0,False
540582,49013,5110,20040005,S,-3,False
540583,49122,4900,20010084,S,0,False
540584,49189,200,19980157,LB,33,False
540585,49222,4900,19980045,CB,75,False
540586,49230,4900,20020468,LB,2,False
540587,49244,750,20030119,S,0,False
540588,49370,750,20030145,DT,17,True
540589,49504,4900,19970066,CB,23,False
540590,49548,4900,19970066,CB,0,False
540591,49960,4900,20010084,S,0,False
540592,50003,4900,20020157,S,0,False
540593,50146,4900,20020468,LB,56,True
540594,50262,3300,19990087,CB,0,False
540595,50334,4900,19950028,LB,3,False
540596,50361,4600,20030011,CB,41,False
540597,50481,4600,20040053,SS,6,False
540598,50518,4500,19980035,S,26,False
540599,50541,4500,19980035,S,13,False
540600,50614,4900,20030205,CB,55,True
540601,50707,2100,20010060,CB,21,False
540602,50716,810,20030014,DE,45,True
540603,50777,2100,20010060,CB,0,False
540604,50901,920,20040056,FS,51,True
540605,50931,2100,20010060,CB,16,False
540606,50999,1050,19990062,DB,4,False
540607,51140,2100,20040427,S,0,False
540608,51151,1400,20040017,LB,10,False
540609,51230,2100,20000030,LB,25,False
540610,51268,1400,19990464,CB,15,False
540611,51436,2100,20010060,CB,43,False
540612,51479,2100,20000030,LB,70,True
540613,51499,2100,19980046,CB,30,False
540614,51602,1800,20040025,CB,0,False
540615,51628,2100,20040124,CB,0,False
540616,51648,2120,19940012,CB,0,False
540617,51652,2100,20030028,CB,25,False
540618,51658,2120,20040010,CB,0,False
540619,51755,2120,19980051,LB,0,False
540620,51791,2120,19960133,FS,14,False
540621,51919,2200,20000547,DB,0,False
540622,51965,2250,20030039,CB,21,False
540623,52159,2100,20040124,CB,0,False
540624,52303,5110,20000198,S,6,False
540625,52495,5110,20010045,CB,17,False
540626,52507,5110,19970003,CB,12,False
540627,52517,5110,20000145,DB,22,False
540628,52554,325,19890005,CB,23,False
540629,52638,750,20020100,CB,0,False
540630,52654,5110,20000145,DB,0,False
540631,52705,750,20000105,LB,-2,False
540632,52765,750,20040523,CB,0,False
540633,52786,750,19980502,FS,6,False
540634,52793,5110,20040005,S,0,False
540635,52809,920,19980017,LB,11,False
540636,52869,5110,19960013,CB,31,False
540637,52896,920,19960044,CB,1,False
540638,52969,920,19970058,FS,0,False
540639,53139,5110,19970003,CB,0,False
540640,53199,5110,20040005,S,0,False
540641,53234,5110,20040005,S,3,True
540642,53365,1800,20010071,S/CB,23,False
540643,53366,5110,19970003,CB,28,False
540644,53448,5110,19970003,CB,29,False
540645,53455,5110,20010045,CB,0,False
540646,53461,1800,19970169,CB,29,False
540647,53499,3000,20030009,DT,7,False
540648,53902,5110,19970003,CB,10,False
540649,53937,3700,19960061,FS,0,False
540650,54073,5110,20010483,LB,16,False
543001,4753,325,19890005,CB,16,False
543002,22968,4400,20030046,CB,2,False
543003,33363,200,20000048,CB,0,False
543004,35855,3430,20040143,S,0,False
543005,38300,325,20020536,S,15,True
543006,49013,5110,20020159,DB,0,False
543007,49230,4900,19990506,CB,11,False
545001,35855,3430,20030053,LB,3,False
1540001,1000016,750,19970401,DE,38,False
1540002,1000033,3800,19970183,CB,25,False
1540003,1000087,750,20010233,S,46,False
1540004,1000158,750,20010233,S,0,False
1540005,1000248,1200,20050208,S,8,False
1540006,1000548,2250,20000057,S,0,False
1540007,1000721,3800,20040033,OLB,11,True
1540008,1000778,3700,20020059,CB,7,False
1540009,1000875,4600,20030011,CB,7,False
1540010,1000941,4600,19990464,CB,10,False
1540011,1000996,4600,20040559,CB,14,False
1540012,1001119,3800,19970183,CB,22,False
1540013,1001220,3800,20040064,DT,14,False
1540014,1001224,2510,20030107,CB,0,False
1540015,1001350,2100,20050218,CB,22,False
1540016,1001399,3800,20000091,CB,60,True
1540017,1001513,5110,20040005,S,2,False
1540018,1001520,3800,20050008,CB,29,False
1540019,1001534,3800,20000091,CB,19,False
1540020,1001570,3800,20010064,SS,36,False
1540021,1001662,200,20010126,LB,13,False
1540022,1001812,200,20050748,CB,8,False
1540023,1001901,750,20040028,CB,0,False
1540024,1002022,200,20040101,LB,6,False
1540025,1002152,2200,20040044,DB,10,False
1540026,1002182,200,20050160,LB,4,False
1540027,1002266,200,19990068,S,20,False
1540028,1002351,200,20040008,CB,37,False
1540029,1002420,200,19980012,LB,6,False
1540030,1002581,200,20040101,LB,0,False
1540031,1002682,3300,19990160,CB,19,False
1540032,1002887,3430,20040012,LB,1,False
1540033,1002914,200,20040008,CB,0,False
1540034,1002928,3430,19950023,CB,0,False
1540035,1002941,3430,20000102,CB,4,False
1540036,1002977,3700,19960061,FS,0,False
1540037,1002981,200,20040008,CB,38,False
1540038,1003252,200,19980012,LB,5,False
1540039,1003391,200,20040186,S,0,False
1540040,1003413,2100,20020133,LB,4,False
1540041,1003667,1050,20010062,DB,10,False
1540042,1003710,325,19960026,LB,0,False
1540043,1003800,325,19980046,CB,0,False
1540044,1003824,325,19890005,CB,24,False
1540045,1003898,325,20020209,S,0,False
1540046,1004074,325,20000186,LB/DE,20,True
1540047,1004113,2200,20030481,LB,0,False
1540048,1004250,2200,20030481,LB,31,False
1540049,1004262,2200,20030198,LB,30,True
1540050,1004408,3000,19970060,S,11,False
1540051,1004559,3430,20040143,S,0,False
1540052,1004592,3700,20020058,SS,3,False
1540053,1004610,3700,19960061,FS,1,False
1540054,1004616,325,19980046,CB,5,False
1540055,1004772,3900,19980117,CB,26,False
1540056,1004915,325,20030010,LB,0,False
1540057,1005042,325,20040591,CB,0,False
1540058,1005060,325,20040591,CB,0,False
1540059,1005229,610,20030048,DE,17,False
1540060,1005272,200,20040008,CB,3,False
1540061,1005442,750,20040028,CB,0,False
1540062,1005629,1540,19990041,CB,24,False
1540063,1005677,1540,19940127,S,37,False
1540064,1005763,1540,20050072,CB,1,False
1540065,1005857,610,20040663,CB,0,False
1540066,1005954,610,19920007,CB,0,False
1540067,1006027,610,19920007,CB,22,False
1540068,1006073,610,19960036,S,0,False
1540069,1006144,610,20030094,LB,2,False
1540070,1006164,610,20040660,S,18,False
1540071,1006198,610,20030111,CB,33,False
1540072,1006298,610,20030111,CB,0,False
1540073,1006307,610,19920007,CB,6,False
1540074,1006345,610,20010021,CB,0,False
1540075,1006415,3200,20030120,CB,0,False
1540076,1006479,610,20010021,CB,0,False
1540077,1006493,610,19980417,LB,20,False
1540078,1006494,3200,20050084,CB,0,False
1540079,1006545,3200,20050133,S,39,True
1540080,1006625,3430,19950023,CB,0,False
1540081,1006646,610,20030094,LB,1,False
1540082,1006670,3430,20030713,LB,18,False
1540083,1006712,610,20030111,CB,18,False
1540084,1006770,200,20030055,S,15,False
1540085,1006858,750,20030082,CB,10,False
1540086,1006870,750,20010233,S,27,False
1540087,1006906,750,20010040,CB,8,False
1540088,1006995,1200,20020008,S,6,False
1540089,1007104,750,20010040,CB,32,False
1540090,1007426,750,20020073,LB,0,False
1540091,1007475,3200,19970091,LB,24,True
1540092,1007609,3300,19990087,CB,11,False
1540093,1007621,3300,19990160,CB,5,False
1540094,1007728,3430,19950023,CB,7,False
1540095,1007749,3430,20040143,S,4,False
1540096,1007780,750,20010040,CB,0,False
1540097,1007788,750,20010040,CB,3,False
1540098,1007806,750,20040028,CB,4,False
1540099,1007818,750,20020073,LB,35,True
1540100,1007965,750,20010233,S,4,False
1540101,1008111,4900,19970066,CB,35,False
1540102,1008153,750,20040028,CB,0,False
1540103,1008313,750,20020100,CB,15,False
1540104,1008410,200,19990472,S,0,False
1540105,1008418,810,20000254,S,14,False
1540106,1008438,810,20040110,CB,0,False
